customer_tweet_id,customer_text,customer_text,human_intent,difficulty,notes
990730,@115850 my order did not reached yet,@115850 my order did not reached yet,ORDER_STATUS,EASY,General order status; no explicit missed date
667700,"@279154 @115821 Lies, I ordered this product and did not receive it, where is my gift set and now I will have to return it before you send what I actually ordered https://t.co/Ckqa7p1wkr","@279154 @115821 Lies, I ordered this product and did not receive it, where is my gift set and now I will have to return it before you send what I actually ordered https://t.co/Ckqa7p1wkr",DELIVERY_NOT_RECEIVED,BOUNDARY,Ordered product not received
1149835,@AmazonHelp Then give me the link where I can track returned product .,@AmazonHelp Then give me the link where I can track returned product .,RETURN_REPLACEMENT,BOUNDARY,Tracking a returned product
324236,"@115850 I want my order to be delivered today else cancel the order no use of prime
membership
Order
407-7611937-1951563
It's frustrating","@115850 I want my order to be delivered today else cancel the order no use of prime
membership
Order
407-7611937-1951563
It's frustrating",ORDER_CANCELLATION,EASY,Explicit cancellation
744150,@AmazonHelp Ça devient un peu de l’abus..? J’ai besoin de mon colis demain matin et je me retrouve coincée. Que pouvez vous faire ..?,@AmazonHelp Ça devient un peu de l’abus..? J’ai besoin de mon colis demain matin et je me retrouve coincée. Que pouvez vous faire ..?,DELIVERY_DELAY,MESSY,Delivery problem implied; wording ambiguous
2451307,"@AmazonHelp @115850 why am I being charged 1300 at an mrp of 478,doesn't that amount to cheating? https://t.co/TZGvB7sLM1","@AmazonHelp @115850 why am I being charged 1300 at an mrp of 478,doesn't that amount to cheating? https://t.co/TZGvB7sLM1",UNEXPECTED_CHARGE,EASY,Charged more than expected
1350238,@AmazonHelp sent an email stating my account was hacked. I’ve yet to receive a response. Thanks for allowing someone else have access to my account and information. Feeling safe knowing y’all don’t give a fuck about your customers.,@AmazonHelp sent an email stating my account was hacked. I’ve yet to receive a response. Thanks for allowing someone else have access to my account and information. Feeling safe knowing y’all don’t give a fuck about your customers.,ACCOUNT_SECURITY,EASY,Account hacked
1205007,@115821 where's my package smh,@115821 where's my package smh,DELIVERY_TRACKING,EASY,Asking package location
377211,"@115850 Loved the fast replacements @115850 . 

#KaroMilkeTayyari 
#AmazonGreatIndianFestival","@115850 Loved the fast replacements @115850 . 

#KaroMilkeTayyari 
#AmazonGreatIndianFestival",OTHER,MESSY,Positive feedback; no supported intent
577725,"@AmazonHelp @115850 I haven't received my Cashback as promised by your team during the great Indian Diwali sale in October. I had bought a Redmi 4 phone worth 8499 and as per the terms and conditions, I was eligible for a 10% Cashback.  Could you please reimburse the money?","@AmazonHelp @115850 I haven't received my Cashback as promised by your team during the great Indian Diwali sale in October. I had bought a Redmi 4 phone worth 8499 and as per the terms and conditions, I was eligible for a 10% Cashback.  Could you please reimburse the money?",CASHBACK,EASY,Cashback not received
250577,"shiiiiit I love how amazon is like, “the delivery driver is 5 minutes away from your house” 

they’re most consistent than the girls I’ve talked to","shiiiiit I love how amazon is like, “the delivery driver is 5 minutes away from your house” 

they’re most consistent than the girls I’ve talked to",OTHER,MESSY,Positive driver comment
1258634,@AmazonHelp Are you really asking if I checked the tracking information?? 😂 yes the tracking info says that my package is delivered and ready for pickup,@AmazonHelp Are you really asking if I checked the tracking information?? 😂 yes the tracking info says that my package is delivered and ready for pickup,DELIVERY_TRACKING,EASY,Tracking status
2301909,"@AmazonHelp 11th November, yesterday","@AmazonHelp 11th November, yesterday",OTHER,MESSY,No meaningful support request
293367,@AmazonHelp Hi. I need to speak about an order I just placed. But your CC IVR won’t let me. Please help.,@AmazonHelp Hi. I need to speak about an order I just placed. But your CC IVR won’t let me. Please help.,ORDER_STATUS,BOUNDARY,Inquiry about recently placed order
2855076,@120533 vos livreurs se moquent de leurs clients non ? Pas le temps de répondre à l’interphone qu’il est déjà parti ..,@120533 vos livreurs se moquent de leurs clients non ? Pas le temps de répondre à l’interphone qu’il est déjà parti ..,OTHER,MESSY,General driver comment
2499097,@AmazonHelp le lien donne sur un login sauf que mon compte est bloquer donc je ne peux pas me connecter. aucune n'autre connection ?,@AmazonHelp le lien donne sur un login sauf que mon compte est bloquer donc je ne peux pas me connecter. aucune n'autre connection ?,ACCOUNT_ACCESS,EASY,Account blocked
2387892,@AmazonHelp Full refund! Thank you 😉,@AmazonHelp Full refund! Thank you 😉,REFUND_STATUS,EASY,Refund request/status
1609584,@AmazonHelp Oh n here’s my original order https://t.co/8ZyT9kS2GE,@AmazonHelp Oh n here’s my original order https://t.co/8ZyT9kS2GE,ORDER_STATUS,EASY,Order inquiry
989221,"@AmazonHelp Today is 14 Oct can I expect that I would receive my order today? Which was expected on 9 Oct. 
Order # 402-7037462-2377120.","@AmazonHelp Today is 14 Oct can I expect that I would receive my order today? Which was expected on 9 Oct. 
Order # 402-7037462-2377120.",DELIVERY_DELAY,EASY,Expected date has passed
445515,@AmazonHelp I want my product replaced . Nothing else . I dont want a refund @115850,@AmazonHelp I want my product replaced . Nothing else . I dont want a refund @115850,RETURN_REPLACEMENT,EASY,Explicit replacement request
1557653,@AmazonHelp Can I post the order number,@AmazonHelp Can I post the order number,ORDER_STATUS,EASY,Asking for order number/status
2967746,"@AmazonHelp I received an email that my package was delivered today, approx 4 hours ago. But, I've no package in my possession. Nothing on back patio, nothing at the front door, nothing at the apt manager office. Umm, where's my order?","@AmazonHelp I received an email that my package was delivered today, approx 4 hours ago. But, I've no package in my possession. Nothing on back patio, nothing at the front door, nothing at the apt manager office. Umm, where's my order?",DELIVERY_NOT_RECEIVED,EASY,Delivered notification but package missing
1808828,@115830 I have not been given any new information on when my packages will arrive and they were due 3 days ago. Please help me,@115830 I have not been given any new information on when my packages will arrive and they were due 3 days ago. Please help me,DELIVERY_DELAY,EASY,Delivery due three days ago
81054,I am rohit vijan i have purchased fit bit altra band so i returned the product on 11 nov and since 24 nov my refund isnt initiated is that lyk this u provide service to customers @AmazonHelp @AmazonHelp @115821 @115850 my contct no 9619266205 https://t.co/cQbCsIUl4z,I am rohit vijan i have purchased fit bit altra band so i returned the product on 11 nov and since 24 nov my refund isnt initiated is that lyk this u provide service to customers @AmazonHelp @AmazonHelp @115821 @115850 my contct no 9619266205 https://t.co/cQbCsIUl4z,REFUND_STATUS,EASY,Refund not initiated
1013750,"Excuse me Amazon wtf, you told me my package was delivered yesterday in my mailbox, no package to be found","Excuse me Amazon wtf, you told me my package was delivered yesterday in my mailbox, no package to be found",DELIVERY_NOT_RECEIVED,EASY,Delivered but package missing
260809,Yo @115830 your driver left my parcel on my doorstep &amp; covered it in rubbish. In the rain. Can you not do that again please?,Yo @115830 your driver left my parcel on my doorstep &amp; covered it in rubbish. In the rain. Can you not do that again please?,DELIVERY_DRIVER_ISSUE,EASY,Driver left parcel incorrectly
1079075,@AmazonHelp I just found out today that my account was hacked and the email address was changed. Is there anyway to get it back?,@AmazonHelp I just found out today that my account was hacked and the email address was changed. Is there anyway to get it back?,ACCOUNT_SECURITY,EASY,Account hacked/email changed
831817,@AmazonHelp I have not received my package which was to be delivered yesterday.,@AmazonHelp I have not received my package which was to be delivered yesterday.,DELIVERY_DELAY,BOUNDARY,Missed expected delivery date
1139798,"@AmazonHelp How would I find that out?  There is no information on my tracking link, just said 'dispatched' and 'out for delivery'","@AmazonHelp How would I find that out?  There is no information on my tracking link, just said 'dispatched' and 'out for delivery'",DELIVERY_TRACKING,EASY,Tracking lacks information
264648,@AmazonHelp ord no. 171 6979504 0534744 my friend asked for replacement they picked up the product and have not sent replacement.pls help,@AmazonHelp ord no. 171 6979504 0534744 my friend asked for replacement they picked up the product and have not sent replacement.pls help,RETURN_REPLACEMENT,EASY,Replacement hasn't been sent
253968,@AmazonHelp Where is my order ?,@AmazonHelp Where is my order ?,ORDER_STATUS,EASY,Asking where order is
2644123,Dear @115850 I already had a prime membership when I bought the echo dot. So do I get a year's extension?,Dear @115850 I already had a prime membership when I bought the echo dot. So do I get a year's extension?,OTHER,MESSY,Prime membership extension; unsupported intent
2378231,@AmazonHelp amount still not refunded. https://t.co/KpX2H3pe3q,@AmazonHelp amount still not refunded. https://t.co/KpX2H3pe3q,REFUND_STATUS,BOUNDARY,Refund not received; not cashback
2870674,"@AmazonHelp No, pensé que me habían hackeado mi cuenta, cambie la contraseña y ni así me dejaba entrar desde pc (en la APP si puedo excepto cuando pide login).
En mi correo solo están de las compras y el cambio de contraseña, nunca uno de el motivo o algo similar.","@AmazonHelp No, pensé que me habían hackeado mi cuenta, cambie la contraseña y ni así me dejaba entrar desde pc (en la APP si puedo excepto cuando pide login).
En mi correo solo están de las compras y el cambio de contraseña, nunca uno de el motivo o algo similar.",ACCOUNT_SECURITY,EASY,Hacked account/password changed
429524,@AmazonHelp I am not able to return my Order. Even though it was ordered with returned policy. Please help.,@AmazonHelp I am not able to return my Order. Even though it was ordered with returned policy. Please help.,RETURN_REPLACEMENT,EASY,Unable to return order
441792,@AmazonHelp @AmazonHelp hv spent last 12 dys of my life on the link u provided Hope u guys see tweets properly there are scrnshots attched sleepy much??,@AmazonHelp @AmazonHelp hv spent last 12 dys of my life on the link u provided Hope u guys see tweets properly there are scrnshots attched sleepy much??,OTHER,MESSY,No usable support intent
74684,@AmazonHelp The item is being returned undelivered by the courier,@AmazonHelp The item is being returned undelivered by the courier,RETURN_REPLACEMENT,BOUNDARY,Return process/courier issue
259908,@115821 where my package fam???,@115821 where my package fam???,DELIVERY_TRACKING,EASY,Asking package location
1503842,@AmazonHelp it's almost 24 hours! No update from your side! Can you please tell how do i cancel this order?,@AmazonHelp it's almost 24 hours! No update from your side! Can you please tell how do i cancel this order?,ORDER_CANCELLATION,EASY,Explicit cancellation
735006,@AmazonHelp please check my DM about package tracking.,@AmazonHelp please check my DM about package tracking.,DELIVERY_TRACKING,EASY,Explicit tracking request
1653470,@228164 @115850 @AmazonHelp I want to cancel my order which I placed by mistake. I am not finding cancel order icon. Help ASAP! https://t.co/DUqMTPjjOm,@228164 @115850 @AmazonHelp I want to cancel my order which I placed by mistake. I am not finding cancel order icon. Help ASAP! https://t.co/DUqMTPjjOm,ORDER_CANCELLATION,EASY,Explicit cancellation request
1151151,@AmazonHelp Could you please explain me the procedure to cancel the order...I don't want any more false promises n bullshit ...,@AmazonHelp Could you please explain me the procedure to cancel the order...I don't want any more false promises n bullshit ...,ORDER_CANCELLATION,EASY,Asking how to cancel
665492,@115850 My this AWB no # 663753539214 was schedule to pick today but Fedex courier nvr turned up.. Later i called in customer care center. plz help https://t.co/7nSLtV8ojk,@115850 My this AWB no # 663753539214 was schedule to pick today but Fedex courier nvr turned up.. Later i called in customer care center. plz help https://t.co/7nSLtV8ojk,DELIVERY_DRIVER_ISSUE,EASY,FedEx courier did not show for scheduled pickup
1124638,"@115850 want cancel the order, but cancel button not found... https://t.co/3HQQfZKgE7","@115850 want cancel the order, but cancel button not found... https://t.co/3HQQfZKgE7",ORDER_CANCELLATION,EASY,Cancel button unavailable
2797118,@AmazonHelp Hola! Son vendidos directamente por Amazon.,@AmazonHelp Hola! Son vendidos directamente por Amazon.,OTHER,MESSY,Statement/comment with no clear supported intent
250024,@AmazonHelp Since last September I have paid you for my order .item could not delivered but did not returned my money,@AmazonHelp Since last September I have paid you for my order .item could not delivered but did not returned my money,REFUND_STATUS,BOUNDARY,Item couldn't be delivered and money wasn't returned
465133,"I've been trying all week to place an order on @115821 but for some reason I don't know, they keep cancelling my orders. Ugh.","I've been trying all week to place an order on @115821 but for some reason I don't know, they keep cancelling my orders. Ugh.",ORDER_CANCELLATION,EASY,Orders repeatedly being cancelled
312837,"@116316 #WheresMyStuff my package was ""delivered""; but I haven't received it!! 😨","@116316 #WheresMyStuff my package was ""delivered""; but I haven't received it!! 😨",DELIVERY_NOT_RECEIVED,EASY,Delivered but not received
24986,@AmazonHelp order 406-5346056-8286767 I want a refund for the product. https://t.co/CKTsoBPMgb,@AmazonHelp order 406-5346056-8286767 I want a refund for the product. https://t.co/CKTsoBPMgb,REFUND_STATUS,EASY,Explicit refund request
2616400,"@AmazonHelp Le suivi dit qu'une date de livraison est en attente, que je recevrais un mail pour m'informer de la livraison.","@AmazonHelp Le suivi dit qu'une date de livraison est en attente, que je recevrais un mail pour m'informer de la livraison.",DELIVERY_TRACKING,BOUNDARY,Delivery date is pending; waiting for delivery information
1627282,@120533 @115821 locked me out of my account. And I can’t unlock it 😒😒😒,@120533 @115821 locked me out of my account. And I can’t unlock it 😒😒😒,ACCOUNT_ACCESS,EASY,Locked out of account
494975,@115821 So my account got hacked into. I am not able to login and in spite of changing my password multiple times it keeps saying password is wrong. Now I get a notification that email has been changed as well. Cant talk to anyone customer service says they need to fill a form!,@115821 So my account got hacked into. I am not able to login and in spite of changing my password multiple times it keeps saying password is wrong. Now I get a notification that email has been changed as well. Cant talk to anyone customer service says they need to fill a form!,ACCOUNT_SECURITY,EASY,Hacked account with password/email changed
1106552,#amazon #trucks have #gps #tracker so why are you telling me we don't know where your package is because it is in transit   #guaranteelate,#amazon #trucks have #gps #tracker so why are you telling me we don't know where your package is because it is in transit   #guaranteelate,DELIVERY_TRACKING,EASY,Package location/status unclear
320325,@AmazonHelp Why don’t your prime drivers not read delivery instructions?,@AmazonHelp Why don’t your prime drivers not read delivery instructions?,DELIVERY_DRIVER_ISSUE,EASY,Driver not following delivery instructions
2895972,@AmazonHelp They've now hung up after telling me that I've got to wait until tomorrow. No problem. I'm just cancelling the order now. And will cancel EVERY ORDER that you attempt to send via @132988 - simple solution.,@AmazonHelp They've now hung up after telling me that I've got to wait until tomorrow. No problem. I'm just cancelling the order now. And will cancel EVERY ORDER that you attempt to send via @132988 - simple solution.,ORDER_CANCELLATION,EASY,Explicit cancellation
1538763,@118706 I️ needed my package before tomorrow for something very IMPORTANT and now it’s lost with no answer in what happened @118706 &amp; @115821,@118706 I️ needed my package before tomorrow for something very IMPORTANT and now it’s lost with no answer in what happened @118706 &amp; @115821,DELIVERY_NOT_RECEIVED,BOUNDARY,Package hasn't arrived; no explicit missed promised date
55059,@115830 @AmazonHelp I have an order that says delivered yesterday by amazon shipping but it hasn’t been delivered. What can I do?,@115830 @AmazonHelp I have an order that says delivered yesterday by amazon shipping but it hasn’t been delivered. What can I do?,DELIVERY_NOT_RECEIVED,EASY,Delivered status but package not delivered
2764987,"@AmazonHelp I have checked my tracking already and yesterday, also emailed customer service and had no reply. The tracking only shows the Sunday 19th tracking, nothing else.","@AmazonHelp I have checked my tracking already and yesterday, also emailed customer service and had no reply. The tracking only shows the Sunday 19th tracking, nothing else.",DELIVERY_TRACKING,EASY,Tracking information hasn't updated
1248956,アマゾンのポイントてアプリからだと使えないの？？,アマゾンのポイントてアプリからだと使えないの？？,OTHER,MESSY,Unsupported Amazon Points question
2457861,@115821 I'm trying to place an order help me @123644,@115821 I'm trying to place an order help me @123644,OTHER,MESSY,"Trying to place an order, not asking about status"
1254618,@AmazonHelp Nope. The money has been taken out of my account.,@AmazonHelp Nope. The money has been taken out of my account.,UNEXPECTED_CHARGE,BOUNDARY,Money taken from account; charge context implied
1311842,@AmazonHelp Last week you double charged me for prime.  Got that fixed.  Now you double chrgd kindle unlimited.,@AmazonHelp Last week you double charged me for prime.  Got that fixed.  Now you double chrgd kindle unlimited.,UNEXPECTED_CHARGE,EASY,Duplicate Prime/Kindle charge
1709399,@AmazonHelp Many times,@AmazonHelp Many times,OTHER,MESSY,No meaningful support request
424298,Had something delivered but it was damaged so requested a replacement. Replacement is also damaged. Who can I speak to about this? @115830,Had something delivered but it was damaged so requested a replacement. Replacement is also damaged. Who can I speak to about this? @115830,PRODUCT_ISSUE,EASY,Delivered product and replacement are damaged
1310628,@115851 @115850 @AmazonHelp 2 months and a  week later and still you guys have not refunded my money! https://t.co/C7FL0rD9Vl,@115851 @115850 @AmazonHelp 2 months and a  week later and still you guys have not refunded my money! https://t.co/C7FL0rD9Vl,REFUND_STATUS,EASY,Money hasn't been refunded
1485358,@AmazonHelp Still have not received https://t.co/1DK8g1iK19,@AmazonHelp Still have not received https://t.co/1DK8g1iK19,OTHER,MESSY,Insufficient context to establish cashback
2880461,"@115830 product delivered, box battered, gift inside also damaged. How to proceed? This is unacceptable.","@115830 product delivered, box battered, gift inside also damaged. How to proceed? This is unacceptable.",PRODUCT_ISSUE,EASY,Product and gift are damaged
1206184,Hi @115830. I'd like to cancel an order which should have been delivered on Friday and still hasn't arrived. Please can you tell me how?,Hi @115830. I'd like to cancel an order which should have been delivered on Friday and still hasn't arrived. Please can you tell me how?,ORDER_CANCELLATION,EASY,Explicit cancellation
2470093,@AmazonHelp It says it should have been delivered but I haven't received this item.,@AmazonHelp It says it should have been delivered but I haven't received this item.,DELIVERY_NOT_RECEIVED,EASY,Expected delivery but item not received
882506,@AmazonHelp @115830 have been locked out of my account without being notified. Can't access customer service as I need to login.,@AmazonHelp @115830 have been locked out of my account without being notified. Can't access customer service as I need to login.,ACCOUNT_ACCESS,EASY,Locked out and cannot access account
2902500,@AmazonHelp hola! Me habéis cobrado el mismo pedido dos veces. Quiero una solución,@AmazonHelp hola! Me habéis cobrado el mismo pedido dos veces. Quiero una solución,UNEXPECTED_CHARGE,EASY,Same order charged twice
862444,@115850 Very pathetic delivery and response from Amazon team with respect to phone which I ordered. (447196419153 tracking number),@115850 Very pathetic delivery and response from Amazon team with respect to phone which I ordered. (447196419153 tracking number),DELIVERY_DELAY,MESSY,Poor delivery reported but exact failure isn't explicit
1326927,"@AmazonHelp Eu fiz um pedido quarta. Eu ainda não recebi a nota fiscal, mas já recebi o recibo e não apareceu para trocar forma de pagamento (+)","@AmazonHelp Eu fiz um pedido quarta. Eu ainda não recebi a nota fiscal, mas já recebi o recibo e não apareceu para trocar forma de pagamento (+)",OTHER,MESSY,Invoice/payment-method issue outside taxonomy
861829,@AmazonHelp I’d really like my package now and don’t want to wait 1.5 hrs on hold to talk to @118706 to find out where it has gone.,@AmazonHelp I’d really like my package now and don’t want to wait 1.5 hrs on hold to talk to @118706 to find out where it has gone.,DELIVERY_TRACKING,BOUNDARY,Wants to know where package has gone
481690,@AmazonHelp Me comenta el banco que ellos no realizan cargos dobles y cheque mi saldo y efectivamente se realizó un doble cobro unos el 30 a las 5:50 pm y otro hoy a las 2:50 am me podrían dar una solución de favor,@AmazonHelp Me comenta el banco que ellos no realizan cargos dobles y cheque mi saldo y efectivamente se realizó un doble cobro unos el 30 a las 5:50 pm y otro hoy a las 2:50 am me podrían dar una solución de favor,UNEXPECTED_CHARGE,EASY,Explicit duplicate charge
2906612,@AmazonHelp hi my order is showing as delivered but it isn’t here? I’ve been home all day so couldn’t have missed it. Order number: 204-8120334-0987527,@AmazonHelp hi my order is showing as delivered but it isn’t here? I’ve been home all day so couldn’t have missed it. Order number: 204-8120334-0987527,DELIVERY_NOT_RECEIVED,EASY,Delivered status but package not there
361352,"@AmazonHelp View order details
Order date
09-Sep-2017
Order #
405-7676708-3857148
Order total
   3,635.00 (1 item)","@AmazonHelp View order details
Order date
09-Sep-2017
Order #
405-7676708-3857148
Order total
   3,635.00 (1 item)",ORDER_STATUS,EASY,Asking to view order details
726975,@115821 I haven't received my refund from past a month : order id 269039080,@115821 I haven't received my refund from past a month : order id 269039080,REFUND_STATUS,EASY,Refund pending for a month
2149463,"@AmazonHelp Check out order number 
701-4591572-1714631 
I ordered and it didn’t arrive so customer ask me to reorder and it didn’t arrive. This is 3rd.","@AmazonHelp Check out order number 
701-4591572-1714631 
I ordered and it didn’t arrive so customer ask me to reorder and it didn’t arrive. This is 3rd.",DELIVERY_NOT_RECEIVED,EASY,Ordered item didn't arrive
2935791,"@115850 
I bought a product but when I get it, that also broken so please sir return it immediately
Track no 203987100","@115850 
I bought a product but when I get it, that also broken so please sir return it immediately
Track no 203987100",OTHER,MESSY,Kindle/promotion comment
1242825,"@AmazonHelp esses descontos no kindle comprei o meu tão desejado kindle aaaaa e ainda ganhei um livro grátis, amos muito vocês!  ❤","@AmazonHelp esses descontos no kindle comprei o meu tão desejado kindle aaaaa e ainda ganhei um livro grátis, amos muito vocês!  ❤",CASHBACK,EASY,Explicit promised cashback
321661,@115850 I didn't receive my promised cashback. Neither am I able to contact customer care. There's a robot on the other side. :( Help ASAP,@115850 I didn't receive my promised cashback. Neither am I able to contact customer care. There's a robot on the other side. :( Help ASAP,DELIVERY_DELAY,BOUNDARY,Customer objects to waiting until stated delivery date
1279835,@AmazonHelp I will not wait till 29th October for the delivery.,@AmazonHelp I will not wait till 29th October for the delivery.,REFUND_STATUS,EASY,Waiting for refund
249117,"Hey @115821, I'm waiting on that refund... thanks 😇","Hey @115821, I'm waiting on that refund... thanks 😇",OTHER,MESSY,Order modification/deletion issue outside taxonomy
1402844,Thanks @115821 for messing up my order just because I deleted an item that hadn't even shipped yet. Very disappointed.,Thanks @115821 for messing up my order just because I deleted an item that hadn't even shipped yet. Very disappointed.,DELIVERY_DELAY,BOUNDARY,Complains about inability to get delivery until Monday
115862,"@AmazonHelp I am still having this problem... can't get anything, and I mean anything, delivered until Monday. So much for Prime delivery.","@AmazonHelp I am still having this problem... can't get anything, and I mean anything, delivered until Monday. So much for Prime delivery.",OTHER,MESSY,Generic update request with insufficient context
897117,"@AmazonHelp Hi team,

Do you have any updates for me?","@AmazonHelp Hi team,

Do you have any updates for me?",DELIVERY_TRACKING,BOUNDARY,Asking for ETA
35905,@AmazonHelp How short is your shortly? A response with an ETA would have been professional,@AmazonHelp How short is your shortly? A response with an ETA would have been professional,OTHER,MESSY,Subscription/order issue outside taxonomy
352905,"@AmazonHelp Sir, how you can send me subscription item on one time purchase rate, after numerous reminders in these 2 days your side response is pathetic. After subscribing, rarely i see the amount of subscribed product you send.","@AmazonHelp Sir, how you can send me subscription item on one time purchase rate, after numerous reminders in these 2 days your side response is pathetic. After subscribing, rarely i see the amount of subscribed product you send.",OTHER,MESSY,Review publication issue outside taxonomy
481480,"@115821 Not received my product. But status is showing delivered. Please check where is the product or refund my amount. Order date
23-Nov-2017
Order #
404-5816421-3911539
Order total
   3,251.60 (1 item)","@115821 Not received my product. But status is showing delivered. Please check where is the product or refund my amount. Order date
23-Nov-2017
Order #
404-5816421-3911539
Order total
   3,251.60 (1 item)",DELIVERY_NOT_RECEIVED,EASY,Product/package not received despite delivered status
233785,@AmazonHelp Tracking on Canada Post says delivered on the 29th. Not updated on Amazon though.,@AmazonHelp Tracking on Canada Post says delivered on the 29th. Not updated on Amazon though.,DELIVERY_TRACKING,EASY,Carrier tracking and Amazon status disagree
2280459,@AmazonHelp Now it won't let me sign into my account its saying my password is wrong,@AmazonHelp Now it won't let me sign into my account its saying my password is wrong,ACCOUNT_ACCESS,EASY,Cannot sign in; password rejected
757702,@AmazonHelp Okay! I will deactivate my account and make sure many other people do the same. YOU GUYS ARE CHEATING CONSUMERS @115851 @12934,@AmazonHelp Okay! I will deactivate my account and make sure many other people do the same. YOU GUYS ARE CHEATING CONSUMERS @115851 @12934,ACCOUNT_SECURITY,EASY,Account compromise/fraud accusation
1776199,@AmazonHelp good condition. Just started refund process. Another item never arrived but got a refund on that one.,@AmazonHelp good condition. Just started refund process. Another item never arrived but got a refund on that one.,MISSING_ITEM,BOUNDARY,One item never arrived; refund is secondary
440310,"@AmazonHelp I hope you will be initiate my refund on 28 Oct. Reply me. 
@115821.IN @amazonHelp","@AmazonHelp I hope you will be initiate my refund on 28 Oct. Reply me. 
@115821.IN @amazonHelp",REFUND_STATUS,EASY,Asking about refund initiation
341417,@AmazonHelp Only this has been left to hear..what a wonderful service it has been after 15 days of calls and follow ups,@AmazonHelp Only this has been left to hear..what a wonderful service it has been after 15 days of calls and follow ups,OTHER,MESSY,Complaint without a clearly supported operational intent
2868397,@132976 Wow. Die Synchronisation ist unterirdisch. Warum nicht einfach Untertitel?,@132976 Wow. Die Synchronisation ist unterirdisch. Warum nicht einfach Untertitel?,OTHER,MESSY,Synchronization/account feature issue outside taxonomy
1741020,"Hey @115850 why have you cancelled my order? 😡
Order number: 404-6296425-8499511","Hey @115850 why have you cancelled my order? 😡
Order number: 404-6296425-8499511",ORDER_CANCELLATION,EASY,Asking why order was cancelled
1575619,"@AmazonHelp Delivery date is already delayed. 111-2691482-1933821 , also it says that it is a customer initiated delay which isn't right.","@AmazonHelp Delivery date is already delayed. 111-2691482-1933821 , also it says that it is a customer initiated delay which isn't right.",DELIVERY_DELAY,EASY,Explicitly says delivery date is delayed
728522,@AmazonHelp Logged on and returned books. It appears I will be refunded. They showed bill charge originally upon purchase presumed during trial period,@AmazonHelp Logged on and returned books. It appears I will be refunded. They showed bill charge originally upon purchase presumed during trial period,UNEXPECTED_CHARGE,BOUNDARY,Charge during presumed trial period
1087661,@AmazonHelp https://t.co/8aZ3NUAScP. 🤘🤘,@AmazonHelp https://t.co/8aZ3NUAScP. 🤘🤘,OTHER,MESSY,No clear support request
120243,"@AmazonHelp “Return started
Your refund will be processed”. I confirmed with customer service it arrived last Tuesday 11/14","@AmazonHelp “Return started
Your refund will be processed”. I confirmed with customer service it arrived last Tuesday 11/14",REFUND_STATUS,EASY,Refund processing status
2306089,@AmazonHelp Account troubles please DM me!,@AmazonHelp Account troubles please DM me!,ACCOUNT_ACCESS,BOUNDARY,Vague account trouble; access issue implied
